Algorithm Impl Scenario IterationX IterationY Time Cwnd
fidelity/cubic ccp_netlink fixed 0 0 1.1459848309999998 157.0
fidelity/cubic ccp_netlink fixed 0 0 1.152015298 157.0
fidelity/cubic ccp_netlink fixed 0 0 1.1588188229999998 157.0
fidelity/cubic ccp_netlink fixed 0 0 1.1607556019999998 157.0
fidelity/cubic ccp_netlink fixed 0 0 1.1627095829999998 157.0
fidelity/cubic ccp_netlink fixed 0 0 1.169714142 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.1822725219999999 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.1823023419999998 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.182343266 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.1881341589999999 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.194887001 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.1949369559999998 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.195015599 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.198870793 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.205744124 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.2115412719999998 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.216384183 158.0
fidelity/cubic ccp_netlink fixed 0 0 1.222349121 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.234920585 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.242801917 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.25359622 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.255803112 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.263317606 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.2655238009999998 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.270092329 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.2702279989999998 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.2702545559999998 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.2741522159999998 159.0
fidelity/cubic ccp_netlink fixed 0 0 1.2779508629999998 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.286762014 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.288874299 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.294885971 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.2974943879999998 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.3014955019999999 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.303649963 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.306130855 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.310163842 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.313104209 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.3152692659999998 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.3152914169999999 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.315316972 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.32089821 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.323074444 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.32799754 160.0
fidelity/cubic ccp_netlink fixed 0 0 1.333801283 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.338396099 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.3423917639999998 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.3443633629999998 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.3444356279999998 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.344470503 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.3444876069999998 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.3445154309999998 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.348257119 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.35228899 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.355420889 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.358421706 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.370032691 161.0
fidelity/cubic ccp_netlink fixed 0 0 1.399623356 162.0
fidelity/cubic ccp_netlink fixed 0 0 1.4028733679999998 162.0
fidelity/cubic ccp_netlink fixed 0 0 1.4053220899999999 162.0
fidelity/cubic ccp_netlink fixed 0 0 1.4067593569999999 162.0
fidelity/cubic ccp_netlink fixed 0 0 1.411583125 162.0
fidelity/cubic ccp_netlink fixed 0 0 1.430316362 162.0
fidelity/cubic ccp_netlink fixed 0 0 1.432259419 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.432383314 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4362901579999998 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4401171 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4488921319999999 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.449062871 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.457713091 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.460687426 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4663422069999998 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.466537164 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4665531189999998 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.474237597 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4795108819999998 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.481233901 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4830906799999999 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.485088671 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4966028439999999 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.496729791 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4967444369999998 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.4967595599999999 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.5024559869999998 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.509225184 163.0
fidelity/cubic ccp_netlink fixed 0 0 1.5132276219999998 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.51540656 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.519984633 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.5240741759999998 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.534419584 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.539519489 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.545372679 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.5474719769999998 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.549433991 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.5543485689999998 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.5583608709999999 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.5619853389999998 164.0
fidelity/cubic ccp_netlink fixed 0 0 1.5674691079999998 165.0
fidelity/cubic ccp_netlink fixed 0 0 1.5708795359999999 165.0
fidelity/cubic ccp_netlink fixed 0 0 1.5835943909999999 165.0
fidelity/cubic ccp_netlink fixed 0 0 1.585908409 165.0
fidelity/cubic ccp_netlink fixed 0 0 1.590711826 165.0
fidelity/cubic ccp_netlink fixed 0 0 1.6040862059999998 165.0
fidelity/cubic ccp_netlink fixed 0 0 1.608547099 165.0
fidelity/cubic ccp_netlink fixed 0 0 1.6128942339999999 165.0
fidelity/cubic ccp_netlink fixed 0 0 1.6216531429999999 165.0
fidelity/cubic ccp_netlink fixed 0 0 1.6217341029999999 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.634603539 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.6346174629999999 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.634646122 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.634679026 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.6363977509999998 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.648350651 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.6483663679999998 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.6527701 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.652879925 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.6548238679999998 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.6646483639999998 166.0
fidelity/cubic ccp_netlink fixed 0 0 1.682181253 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.688104139 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.6881269529999998 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.6881387479999999 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.690012235 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.691949963 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.715398746 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.7172527499999999 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.723463953 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.7251031449999998 167.0
fidelity/cubic ccp_netlink fixed 0 0 1.736009204 168.0
fidelity/cubic ccp_netlink fixed 0 0 1.736107718 168.0
fidelity/cubic ccp_netlink fixed 0 0 1.748624515 168.0
fidelity/cubic ccp_netlink fixed 0 0 1.7583886709999998 168.0
fidelity/cubic ccp_netlink fixed 0 0 1.771183563 168.0
fidelity/cubic ccp_netlink fixed 0 0 1.786718504 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.793793131 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.7977451309999999 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.797810937 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.7978942359999999 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.804598588 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.8091076339999999 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.809290815 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.8093481989999998 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.809370858 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.809384872 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.809412254 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.8142577770000001 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.8169402430000001 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.826646414 169.0
fidelity/cubic ccp_netlink fixed 0 0 1.835490663 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.8356230419999997 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.8374778569999999 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.841496763 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.8461472939999999 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.8511717419999998 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.8570704749999998 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.8609485909999999 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.8815395849999998 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.881592276 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.881642095 170.0
fidelity/cubic ccp_netlink fixed 0 0 1.885548668 171.0
fidelity/cubic ccp_netlink fixed 0 0 1.8942281919999997 171.0
fidelity/cubic ccp_netlink fixed 0 0 1.8942422609999998 171.0
fidelity/cubic ccp_netlink fixed 0 0 1.89425557 171.0
fidelity/cubic ccp_netlink fixed 0 0 1.894300009 171.0
fidelity/cubic ccp_netlink fixed 0 0 1.903351703 171.0
